	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
104	104	18.0	0.0629	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
105	105	18.0	0.0806	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
106	106	0.0	0.2178	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended
107	107	9.0	0.0976	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
108	108	9.0	0.1061	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
109	109	18.0	0.0763	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
110	110	6.0	0.1061	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
111	111	0.0	0.0617	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended
112	112	5.0	0.0925	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
113	113	2.0	0.0642	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500
114	114	18.0	0.0934	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
115	115	4.0	0.0595	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
116	116	9.0	0.0822	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
117	117	18.0	0.0642	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
118	118	6.0	0.0629	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
119	119	12.0	0.1028	late, early, trace, 0000”, light, 0700, observed, precipitation, data, windshield
120	120	5.0	0.0629	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
121	121	18.0	0.062	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
122	122	13.0	0.0779	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
123	123	6.0	0.0915	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
124	124	9.0	0.0822	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
125	125	9.0	0.0976	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
126	126	18.0	0.0642	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
127	127	5.0	0.0629	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
128	128	15.0	0.0598	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
129	129	9.0	0.1162	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
130	130	8.0	0.0629	calm, clear, overcast, 01, cloudy, 78°, 77°, 74°, partly, 79°
131	131	6.0	0.0915	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
132	132	18.0	0.062	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
133	133	5.0	0.0629	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
134	134	19.0	0.0555	storm, hail, area, short, south, small, cell, strong, hit, north
135	135	6.0	0.0874	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
136	136	3.0	0.0995	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
137	137	5.0	0.0693	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
138	138	6.0	0.0642	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
139	139	13.0	0.08	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
140	140	6.0	0.1001	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
141	141	18.0	0.0608	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
142	142	3.0	0.0806	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
143	143	6.0	0.0935	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
144	144	17.0	0.062	pm, 7, 5, 6, started, 8, 1, 330, 430, 630
145	145	5.0	0.0779	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
146	146	3.0	0.0791	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
147	147	6.0	0.0842	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
148	148	21.0	0.0629	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped
149	149	4.0	0.0711	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
150	150	16.0	0.0576	rain, pm, heavy, 1030, accumulated, 1130, 700, 1100, 1000, 1215
151	151	2.0	0.0777	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500
152	152	10.0	0.0629	total, day, rainfall, amount, nearby, absent, station, reading, based, 95
153	153	11.0	0.0827	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
154	154	15.0	0.0598	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
155	155	0.0	0.1307	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended
156	156	2.0	0.0828	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500
157	157	20.0	0.2812	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002
158	158	11.0	0.0858	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
159	159	7.0	0.0629	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
160	160	15.0	0.0647	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
161	161	17.0	0.0722	pm, 7, 5, 6, started, 8, 1, 330, 430, 630
162	162	3.0	0.0995	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
163	163	17.0	0.0736	pm, 7, 5, 6, started, 8, 1, 330, 430, 630
164	164	6.0	0.11	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
165	165	11.0	0.068	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
166	166	17.0	0.1101	pm, 7, 5, 6, started, 8, 1, 330, 430, 630
167	167	11.0	0.0688	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
168	168	10.0	0.0629	total, day, rainfall, amount, nearby, absent, station, reading, based, 95
169	169	1.0	0.0672	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
170	170	17.0	0.0642	pm, 7, 5, 6, started, 8, 1, 330, 430, 630
171	171	2.0	0.0803	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500
172	172	2.0	0.0617	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500
173	173	16.0	0.0777	rain, pm, heavy, 1030, accumulated, 1130, 700, 1100, 1000, 1215
174	174	0.0	0.2555	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended
175	175	7.0	0.0629	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
176	176	4.0	0.0642	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
177	177	8.0	0.0806	calm, clear, overcast, 01, cloudy, 78°, 77°, 74°, partly, 79°
178	178	6.0	0.1001	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
179	179	21.0	0.075	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped
180	180	5.0	0.0822	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
181	181	8.0	0.0806	calm, clear, overcast, 01, cloudy, 78°, 77°, 74°, partly, 79°
182	182	6.0	0.108	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
183	183	9.0	0.0617	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
184	184	4.0	0.0642	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
185	185	11.0	0.0617	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
186	186	15.0	0.0642	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
187	187	2.0	0.0833	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500
188	188	7.0	0.0629	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
189	189	15.0	0.0642	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
190	190	3.0	0.08	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
191	191	15.0	0.0627	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
192	192	21.0	0.0719	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped
193	193	15.0	0.062	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
194	194	6.0	0.0902	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
195	195	7.0	0.0651	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
196	196	20.0	0.137	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002
197	197	11.0	0.0916	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
198	198	11.0	0.0757	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
199	199	1.0	0.0606	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
200	200	15.0	0.0587	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
201	201	5.0	0.0576	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
202	202	2.0	0.0576	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500
203	203	4.0	0.0967	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
204	204	21.0	0.0565	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped
205	205	15.0	0.0576	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
206	206	10.0	0.0909	total, day, rainfall, amount, nearby, absent, station, reading, based, 95
207	207	12.0	0.2362	late, early, trace, 0000”, light, 0700, observed, precipitation, data, windshield
