	Dominant_Topic	Topic_Keywords	Num_Documents	Perc_Documents
127	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
128	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
129	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
130	8.0	calm, clear, overcast, 01, cloudy, 78°, 77°, 74°, partly, 79°		
131	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
132	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
133	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
134	19.0	storm, hail, area, short, south, small, cell, strong, hit, north		
135	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
136	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
137	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
138	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
139	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
140	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
141	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
142	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
143	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
144	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
145	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
146	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
147	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
148	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
149	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
150	16.0	rain, pm, heavy, 1030, accumulated, 1130, 700, 1100, 1000, 1215		
151	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
152	10.0	total, day, rainfall, amount, nearby, absent, station, reading, based, 95		
153	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
154	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
155	0.0	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended		
156	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
157	20.0	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002		
158	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
159	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
