	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
102	102	15.0	0.0545	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round
103	103	21.0	0.0544	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225
104	104	0.0	0.0555	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy
105	105	6.0	0.0534	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930
106	106	2.0	0.0604	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
107	107	14.0	0.0585	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt
108	108	15.0	0.0544	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round
109	109	10.0	0.0584	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
110	110	5.0	0.0763	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent
111	111	9.0	0.0615	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
112	112	0.0	0.0575	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy
113	113	8.0	0.0575	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu
114	114	3.0	0.0565	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger
115	115	4.0	0.0585	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
116	116	4.0	0.0585	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
117	117	4.0	0.0597	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
118	118	6.0	0.0576	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930
119	119	9.0	0.0624	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
120	120	9.0	0.0709	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
121	121	9.0	0.0656	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
122	122	10.0	0.075	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
123	123	10.0	0.075	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
124	124	9.0	0.0635	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
125	125	9.0	0.0606	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
126	126	14.0	0.0575	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt
127	127	20.0	0.0724	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
128	128	21.0	0.0565	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225
129	129	20.0	0.0737	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
130	130	10.0	0.0737	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
131	131	9.0	0.0584	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
132	132	9.0	0.0606	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
133	133	9.0	0.0606	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
134	134	14.0	0.0585	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt
135	135	3.0	0.0649	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger
136	136	2.0	0.0769	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
137	137	9.0	0.0604	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
138	138	1.0	0.0565	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
139	139	6.0	0.0575	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930
140	140	5.0	0.0555	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent
141	141	2.0	0.0615	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
142	142	8.0	0.0595	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu
143	143	9.0	0.0627	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
144	144	9.0	0.0668	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
145	145	1.0	0.0898	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
146	146	13.0	0.0638	cool, night, day, light, overcast, warm, started, 3, 7, ended
147	147	4.0	0.0711	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
148	148	2.0	0.0656	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
149	149	1.0	0.0693	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
150	150	0.0	0.0544	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy
151	151	13.0	0.0762	cool, night, day, light, overcast, warm, started, 3, 7, ended
152	152	10.0	0.0711	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
153	153	10.0	0.0595	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
154	154	9.0	0.0624	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
155	155	9.0	0.0769	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
156	156	5.0	0.0703	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent
157	157	1.0	0.0938	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
158	158	9.0	0.0603	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
159	159	1.0	0.0758	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
160	160	4.0	0.0617	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
161	161	9.0	0.0624	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
162	162	10.0	0.0606	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
163	163	6.0	0.0584	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930
164	164	18.0	0.0594	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially
165	165	13.0	0.0555	cool, night, day, light, overcast, warm, started, 3, 7, ended
166	166	20.0	0.0737	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
167	167	10.0	0.0724	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
168	168	10.0	0.0595	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
169	169	13.0	0.0604	cool, night, day, light, overcast, warm, started, 3, 7, ended
170	170	13.0	0.0595	cool, night, day, light, overcast, warm, started, 3, 7, ended
171	171	12.0	0.0688	day, night, warm, humidity, lot, higher, melted, period, mixmostly, creating
172	172	9.0	0.0664	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
173	173	2.0	0.0584	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
174	174	1.0	0.1956	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
175	175	19.0	0.0827	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
176	176	7.0	0.0749	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
177	177	19.0	0.068	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
178	178	1.0	0.066	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
179	179	10.0	0.0595	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
180	180	21.0	0.0545	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225
181	181	15.0	0.0604	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round
182	182	4.0	0.0585	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
183	183	2.0	0.0624	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
184	184	19.0	0.0722	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
185	185	19.0	0.0597	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
186	186	1.0	0.066	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
187	187	1.0	0.0659	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
188	188	19.0	0.0716	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
189	189	20.0	0.0624	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
190	190	10.0	0.0606	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
191	191	19.0	0.0629	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
192	192	20.0	0.0763	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
193	193	11.0	0.0525	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
194	194	15.0	0.0511	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round
195	195	6.0	0.0489	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930
196	196	4.0	0.0871	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
197	197	3.0	0.0604	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger
198	198	4.0	0.0723	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
199	199	20.0	0.0906	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
200	200	10.0	0.0757	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
