	readingId	gaugeId	gaugeRevisionId	remarks	readingDate	readingHour	readingMinute	quality	rainAmount	snowDepth	snowAccumulation	createdDate	brand	model	description	gaugeType	gaugeTypeOther	lat	lng
1	1869899	7647	7647		2015-01-11	7	0	Absent				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1867569	553	553		2015-01-11	7	0	Good	0.1			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1867805	653	653	rain almost all day   chilly night 	2015-01-11	7	0	Good	0.4			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1868009	593	593		2015-01-11	7	0	Good	0.11			2006-10-28				TruChek		35.2333161912	-111.6689443588
5	1872513	679	679		2015-01-11	7	0	Good	0.16			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	1868686	595	595		2015-01-11	7	0	Good	0.11			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1867924	680	680	rain	2015-01-11	7	0	Good	0.17			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1868612	587	587	Rain daytime, snow at hight	2015-01-12	7	0	Snow	0.17		0.3	2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1869900	7647	7647		2015-01-12	7	0	Absent				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1868492	553	553		2015-01-12	7	0	Good	0.09000000000000001			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1868770	653	653	rain turning to snow overnight  chilly night 	2015-01-12	7	0	Snow	0.1		0.02	2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1868576	593	593	Early morning snow melted	2015-01-12	7	0	Good	0.25			2006-10-28				TruChek		35.2333161912	-111.6689443588
5	1872514	679	679		2015-01-12	7	0	Good	0.14			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	1868687	595	595		2015-01-12	7	0	Good	0.24000000000000002			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
0	1869639	587	587	Rain daytime, snow overnight.	2015-01-13	7	0	Snow	0.26	1.2	1.2	2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1869888	7647	7647		2015-01-13	7	0	Good	0.22			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1869492	553	553	"2"" and still snowing"	2015-01-13	7	0	Snow	0.35000000000000003	2.0		2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1869721	653	653	snow over night and this AM  	2015-01-13	7	0	Snow	0.25	1.75		2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1869886	593	593		2015-01-13	7	0	Snow	0.2	2.5		2006-10-28				TruChek		35.2333161912	-111.6689443588
5	1872515	679	679		2015-01-13	7	0	Good	0.24000000000000002			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	1869627	595	595		2015-01-13	7	0	Snow	0.19			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1869803	680	680	2.75 inches of snow over 2 days.  Mixed rain and snow	2015-01-13	7	0	Snow	0.61	2.75		2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1870375	587	587	Daytime some snow melted when it touched the ground.	2015-01-14	7	0	Snow	0.1		0.2	2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877511	7647	7647		2015-01-14	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1870296	553	553	"1.5"" snow "	2015-01-14	7	0	Snow	0.17	1.5		2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1870520	653	653	rain snow 	2015-01-14	7	0	Snow	0.2	1.0		2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1870599	593	593	Snow melted	2015-01-14	7	0	Good	0.09000000000000001			2006-10-28				TruChek		35.2333161912	-111.6689443588
5	1872516	679	679		2015-01-14	7	0	Good	0.12000000000000001			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	1871494	595	595		2015-01-14	7	0	Snow	0.04			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1870376	680	680	"3.25"" snow"	2015-01-14	7	0	Snow	0.28	3.25		2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1871113	587	587		2015-01-15	7	0	Snow	0.02			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1871373	7647	7647		2015-01-15	9	30	Snow	0.52			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1871024	553	553		2015-01-15	7	0	Snow	0.01			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
